time,cpc1,cpc2,ratios,mean,legend,legend2,legend3,legend4
1,8.4,13.8,0.6086956521739131,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
2,3.0,18.6,0.16129032258064516,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
3,1.8,9.0,0.2,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
4,3.6,15.0,0.24000000000000002,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
5,6.0,12.0,0.5,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
6,6.0,9.6,0.625,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
7,3.6,14.4,0.25,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
8,4.8,13.8,0.34782608695652173,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
9,6.6,14.4,0.4583333333333333,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
10,8.4,15.0,0.56,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
11,8.4,13.8,0.6086956521739131,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
12,7.2,16.8,0.42857142857142855,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
13,5.4,15.0,0.36000000000000004,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
14,3.0,17.4,0.1724137931034483,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
15,4.2,18.0,0.23333333333333334,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
16,5.4,17.4,0.31034482758620696,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
17,5.4,12.0,0.45,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
18,7.8,19.8,0.3939393939393939,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
19,3.0,12.0,0.25,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
20,9.0,13.8,0.6521739130434783,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
21,6.0,16.8,0.35714285714285715,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
22,3.6,15.0,0.24000000000000002,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
23,6.0,15.0,0.4,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
24,6.6,13.2,0.5,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
25,4.2,19.2,0.21875000000000003,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
26,3.6,12.6,0.28571428571428575,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
27,4.8,9.0,0.5333333333333333,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
28,4.8,15.0,0.32,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
29,4.8,13.8,0.34782608695652173,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
30,7.2,12.0,0.6,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
31,5.4,14.4,0.375,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
32,6.6,15.0,0.44,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
33,6.0,12.6,0.4761904761904762,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
34,6.0,18.6,0.3225806451612903,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
35,5.4,13.8,0.391304347826087,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
36,3.6,13.2,0.27272727272727276,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
37,3.0,15.0,0.2,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
38,6.0,13.8,0.43478260869565216,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
39,6.0,13.8,0.43478260869565216,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
40,3.0,16.8,0.17857142857142858,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
41,7.8,20.4,0.3823529411764706,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
42,5.4,7.8,0.6923076923076924,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
43,3.6,14.4,0.25,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
44,4.8,12.0,0.39999999999999997,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
45,7.2,13.8,0.5217391304347826,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
46,5.4,15.0,0.36000000000000004,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
47,4.8,12.6,0.38095238095238093,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
48,5.4,16.2,0.33333333333333337,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
49,6.0,16.2,0.3703703703703704,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
50,2.4,13.8,0.17391304347826086,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
51,5.4,12.0,0.45,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
52,0.6,15.6,0.038461538461538464,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
53,3.0,12.6,0.2380952380952381,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
54,4.2,13.8,0.30434782608695654,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
55,5.4,10.2,0.5294117647058825,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
56,2.4,10.2,0.23529411764705882,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
57,7.2,9.6,0.75,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
58,5.4,9.6,0.5625000000000001,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
59,4.2,17.4,0.24137931034482762,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
60,6.6,15.6,0.4230769230769231,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
61,5.4,11.4,0.4736842105263158,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
62,5.4,13.8,0.391304347826087,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
63,3.0,15.0,0.2,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
64,7.2,14.4,0.5,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
65,3.6,18.6,0.1935483870967742,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
66,6.6,16.2,0.4074074074074074,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
67,4.8,24.0,0.19999999999999998,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
68,3.6,19.2,0.1875,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
69,2.4,15.6,0.15384615384615385,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
70,3.6,11.4,0.3157894736842105,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
71,6.0,15.6,0.38461538461538464,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
72,3.0,16.8,0.17857142857142858,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
73,7.2,16.2,0.4444444444444445,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
74,2.4,14.4,0.16666666666666666,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
75,3.6,12.6,0.28571428571428575,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
76,9.6,10.8,0.8888888888888888,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
77,4.2,15.0,0.28,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
78,7.8,15.0,0.52,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
79,4.8,13.8,0.34782608695652173,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
80,6.0,8.4,0.7142857142857143,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
81,5.4,13.2,0.4090909090909091,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
82,4.8,16.8,0.2857142857142857,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
83,7.8,17.4,0.4482758620689655,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
84,5.4,11.4,0.4736842105263158,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
85,4.2,12.0,0.35000000000000003,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
86,4.2,12.6,0.33333333333333337,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
87,3.0,12.6,0.2380952380952381,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
88,5.4,18.0,0.30000000000000004,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
89,1.8,18.0,0.1,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
90,4.2,16.8,0.25,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
91,6.6,10.8,0.611111111111111,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
92,3.0,18.6,0.16129032258064516,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
93,8.4,19.2,0.43750000000000006,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
94,10.2,10.2,1.0,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
95,3.6,10.8,0.3333333333333333,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
96,3.6,13.8,0.2608695652173913,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
97,6.6,16.8,0.3928571428571428,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
98,2.4,15.6,0.15384615384615385,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
99,2.4,13.2,0.18181818181818182,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
100,5.4,15.0,0.36000000000000004,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
101,3.6,9.0,0.4,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
102,7.8,16.8,0.46428571428571425,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
103,5.4,14.4,0.375,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
104,3.6,12.0,0.3,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
105,4.8,15.0,0.32,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
106,4.2,15.0,0.28,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
107,1.8,13.8,0.13043478260869565,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
108,4.8,9.6,0.5,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
109,6.0,10.8,0.5555555555555555,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
110,4.8,13.2,0.36363636363636365,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
111,6.0,14.4,0.41666666666666663,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
112,4.2,14.4,0.2916666666666667,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
113,7.2,12.0,0.6,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
114,3.6,10.8,0.3333333333333333,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
115,3.6,13.8,0.2608695652173913,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
116,4.8,13.2,0.36363636363636365,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
117,4.2,13.8,0.30434782608695654,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
118,5.4,13.8,0.391304347826087,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
119,2.4,21.6,0.1111111111111111,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
120,1.2,12.0,0.09999999999999999,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
121,7.2,9.6,0.75,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
122,4.2,15.6,0.2692307692307693,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
123,4.2,16.8,0.25,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
124,2.4,19.2,0.125,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
125,3.6,8.4,0.42857142857142855,0.3592101378812409,CPC1,CPC2,mean,CPC1/CPC2
